Supplementary Table 5.  Raw measurements and metadata for F2s used in this study.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Sex,Grandmother Inbred Line,Corticosterone ng/mL,Litter.ID,Partuition.Number,Litter.Size,Cage.ID,Week.4.Weight,Week.5.Weight,Week.6.Weight,Week.7.Weight,Week.8.Weight,Week.9.Weight,Fecal.Boli.4wk,Humidity.4wk,Time.of.Day.4wk,Fecal.Boli.8wk,OF.8wk.Estrous,Humidity.8wk,Time.of.Day.8wk,Temperature.LD,Humidity.LD,Time.of.Day.LD,Fecal.Boli.LD.Total,Estrous.LD,Distance.Traveled.4wk,Time.in.Center.4wk.increased.radius,Distance.Traveled.8wk,Time.in.Center.8wk.increased.radius,Light.Chamber.Entrances.LD,Center.Crosses.LD,Time.in.Light.Chamber.LD,Time.Past.Center.LD
13502,Female,WSB,NA,1467,1,5,1,10.8,14.1,15.7,16.6,17.3,17.4,10,25,4.85,11,Estrous,23,5.98,70,23,11.22,12,Estrous,171.2645499,522.6666667,405.5213923,322.2333333,201,73,535.7666667,271.1333333
13504,Female,WSB,NA,1467,1,5,1,11.8,14.5,14.9,15.4,16.3,16.8,5,25,5.5,8,Female,23,5.32,68,24,10.37,5,Female,306.815353,411.1666667,282.0055464,233.8333333,183,71,540.1,250.1666667
13505,Female,WSB,NA,1467,1,5,2,12.1,13.1,14.2,16.3,17.7,18.6,8,28,9.62,9,Female,24,4.02,68,24,8.9,10,Female,155.5050497,481.7333333,145.6053081,325.1666667,176,56,554.6333333,280.3333333
13506,Female,WSB,NA,1467,1,5,2,12.4,13.5,15,17.1,18.2,18.3,6,27,8.97,8,Female,24,3.4,68,24,7.97,11,Female,138.1163635,604.3666667,319.6234496,572.0666667,172,52,721.7333333,231.3333333
13553,Male,WSB,NA,1466,1,7,3,13.9,17.9,18.3,18.7,18.9,19.3,10,25,8,6,Male,23,6.7,70,23,9.05,9,Male,125.9848263,646.9,114.6937076,380.7333333,146,48,546.4333333,269.8666667
13554,Male,WSB,NA,1466,1,7,3,11.3,14.2,15.7,16,16.1,16.4,6,25,7.37,7,Male,23,7.33,70,23,8.23,5,Male,168.5357721,286.7,174.2571436,395.3666667,153,49,497.5666667,236.3
13555,Male,WSB,NA,1466,1,7,4,13.5,14.5,16.1,16.6,17.5,17.9,4,26,3.95,6,Male,24,5.18,68,24,4.58,7,Male,140.4696013,373.8333333,136.1452829,433.5,201,55,520.5,211.7333333
13556,Male,WSB,NA,1466,1,7,4,12.2,14.6,14.5,15,15.8,16.3,5,25,4.58,6,Male,24,4.53,70,23,5.37,4,Male,124.9264932,291.7333333,135.9851205,351.9666667,284,70,738.4333333,320
13558,Female,WSB,NA,1466,1,7,5,12,13.6,14.6,14.9,15.3,16.4,4,24,9.12,5,Female,23,10.8,70,23,11.13,6,Female,114.1891679,394.8333333,133.3986372,402.0666667,125,32,493.0333333,244.2333333
13559,Female,WSB,NA,1466,1,7,5,9.3,10.3,10.8,11.6,12.2,11.9,6,24,9.78,6,Female,23,10.15,70,23,10.33,2,Female,111.4314013,616.0666667,124.5645183,396.9,186,63,713.7666667,309.6
13564,Male,WSB,NA,1468,1,5,6,11.4,15.8,16.3,16.6,16.7,16.7,10,24,10.03,10,Male,24,7.62,70,25,10.97,6,Male,113.4101235,423.1333333,113.8843858,394.1666667,211,40,627.5666667,223.2
13565,Male,WSB,NA,1468,1,5,6,14.6,18.5,19.7,19.8,20.5,20.9,9,24,8.9,5,Male,24,8.23,70,24,11.77,13,Male,82.92523193,472.7666667,132.5831943,469.4333333,188,45,732.4333333,217.2666667
13566,Male,WSB,NA,1468,1,5,7,14.2,17.2,17.7,17.5,17.7,17.4,8,25,2.87,0,Male,24,11.03,70,24,7.57,6,Male,126.6526428,536.4333333,131.2225402,319.0333333,216,60,744.0333333,315.7333333
13568,Male,WSB,NA,1468,1,5,7,11.8,14.3,14,14.4,15.4,16.2,10,25,3.5,7,Male,24,11.67,70,24,6.78,5,Male,194.8411128,462.3666667,164.6729294,399.7666667,277,89,846.9,266.3
