Supplementary Table 5.  Genes annotated with “behavior” underneath each QTL (see “Candidate Gene Nomination” in Supplementary File 1).  ,,,,,,,,,,,,,,,
Gene Symbol,Chromosome,Gene Name,MGI ID,Start bp (GRCm39),End bp (GRCm39),Number of missense variants,Number of splice region variants,Number of inframe deletions,Number of inframe insertions,Number of nonsense mutations,Number of conserved element changes,Expressed in amygdala,Expressed in hippocampus,Expressed in prefrontal cortex,Interesting
1700025G04Rik,1,RIKEN cDNA 1700025G04 gene,MGI:1916649,151760275,151967941,0,0,0,0,0,0,NO,YES,YES,NO
Abl2,1,"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)",MGI:87860,156386356,156477138,0,0,0,0,0,0,NO,YES,YES,NO
Adipor1,1,adiponectin receptor 1,MGI:1919924,134343116,134361089,0,0,0,0,0,0,NO,YES,YES,NO
Adora1,1,adenosine A1 receptor,MGI:99401,134126961,134163169,0,0,0,0,0,0,NO,YES,YES,NO
Angptl1,1,angiopoietin-like 1,MGI:1919963,156666593,156688648,0,0,0,0,0,0,NO,YES,YES,NO
Ankrd45,1,ankyrin repeat domain 45,MGI:1921094,160970261,160998068,0,0,0,0,0,0,NO,YES,YES,NO
Astn1,1,astrotactin 1,MGI:1098567,158189843,158519351,0,0,0,0,0,28,YES,YES,YES,YES
Atp2b4,1,"ATPase, Ca++ transporting, plasma membrane 4",MGI:88111,133630411,133728797,0,1,0,0,0,1,NO,YES,YES,YES
Avpr1b,1,arginine vasopressin receptor 1B,MGI:1347010,131526977,131539738,0,0,0,0,0,0,YES,YES,NO,NO
B3galt2,1,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2",MGI:1349461,143516435,143525675,0,0,0,0,0,0,YES,YES,YES,NO
Btg2,1,BTG anti-proliferation factor 2,MGI:108384,134002908,134006858,0,0,0,0,0,0,NO,YES,YES,NO
Cacna1e,1,"calcium channel, voltage-dependent, R type, alpha 1E subunit",MGI:106217,154266477,154760247,0,1,0,0,0,17,NO,YES,YES,YES
Cacna1s,1,"calcium channel, voltage-dependent, L type, alpha 1S subunit",MGI:88294,135980488,136047560,0,2,0,0,0,11,YES,YES,NO,YES
Ccnt2,1,cyclin T2,MGI:1920199,127701901,127732574,0,0,0,0,0,0,NO,YES,YES,NO
Cd55,1,"CD55 molecule, decay accelerating factor for complement",MGI:104850,130366764,130390481,1,0,0,0,0,0,NO,YES,YES,YES
Cd55b,1,"CD55 molecule, decay accelerating factor for complement B",MGI:104849,130316274,130350746,0,0,0,0,0,0,NO,NO,NO,NO
Cdc73,1,"cell division cycle 73, Paf1/RNA polymerase II complex component",MGI:2384876,143479014,143578631,0,0,0,0,0,1,YES,YES,YES,YES
Cep350,1,centrosomal protein 350,MGI:1921331,155720710,155849001,0,0,0,0,0,0,NO,YES,YES,NO
